id,address_line_1,city,state,postal_code,country_code,created_at
addr-50a2d1c4-d788-4498-a6f7-dd75d4db588f,101 Jaffle Street,Denver,CO,90001,US,2024-08-01T00:00:00
addr-438005c2-dd1d-48aa-8bfd-7fb06851b5f8,102 Jaffle Street,Portland,OR,90002,US,2024-08-01T00:00:00
addr-5261268c-aa94-438a-921a-05efc0d414ac,103 Jaffle Street,Seattle,WA,90003,US,2024-08-01T00:00:00
addr-f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,104 Jaffle Street,Austin,TX,90004,US,2024-08-01T00:00:00
addr-341ed9b2-1760-4720-a1b1-42681d273c63,105 Jaffle Street,Denver,CO,90005,US,2024-08-01T00:00:00
addr-2660b7ac-6c46-4392-8ddc-26194c532341,106 Jaffle Street,Portland,OR,90006,US,2024-08-01T00:00:00
addr-7e52ce3f-191d-4d27-a0a8-76706fd6173c,107 Jaffle Street,Seattle,WA,90007,US,2024-08-01T00:00:00
addr-0000bd8e-496c-42aa-9430-fea7f9bd6a96,108 Jaffle Street,Austin,TX,90008,US,2024-08-01T00:00:00
addr-3b47f466-5256-41a1-951c-efee13597676,109 Jaffle Street,Denver,CO,90009,US,2024-08-01T00:00:00
addr-2480125c-2d37-405c-96b9-ca32b2c75b33,110 Jaffle Street,Portland,OR,90010,US,2024-08-01T00:00:00
addr-69731d27-9caa-46cf-8933-d01e29b20043,111 Jaffle Street,Seattle,WA,90011,US,2024-08-01T00:00:00
addr-7d0a9ece-1d73-43ea-98e7-8bbe21e890ec,112 Jaffle Street,Austin,TX,90012,US,2024-08-01T00:00:00
addr-861181e6-5d97-48a8-bbe4-226caa976140,113 Jaffle Street,Denver,CO,90013,US,2024-08-01T00:00:00
addr-cc1816db-c3dd-4c16-8ea7-18fe313472b9,114 Jaffle Street,Portland,OR,90014,US,2024-08-01T00:00:00
addr-1bf35f99-4627-4c80-a5f8-0797538eaf54,115 Jaffle Street,Seattle,WA,90015,US,2024-08-01T00:00:00
addr-96f4e93c-c759-4fc7-b4a3-c8a153858bea,116 Jaffle Street,Austin,TX,90016,US,2024-08-01T00:00:00
addr-6faa20a4-1e8f-43a8-9a45-33ae5f675190,117 Jaffle Street,Denver,CO,90017,US,2024-08-01T00:00:00
addr-5bbca380-854e-47a4-ae5c-fd631650a115,118 Jaffle Street,Portland,OR,90018,US,2024-08-01T00:00:00
addr-84ee8f13-e5a2-4988-8f65-daa65801c5d1,119 Jaffle Street,Seattle,WA,90019,US,2024-08-01T00:00:00
addr-e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,120 Jaffle Street,Austin,TX,90020,US,2024-08-01T00:00:00
addr-3f1fc492-e8ed-4840-97a0-a56592fdc1d9,121 Jaffle Street,Denver,CO,90021,US,2024-08-01T00:00:00
addr-3483e39a-260f-4974-9366-50c2d833307f,122 Jaffle Street,Portland,OR,90022,US,2024-08-01T00:00:00
addr-0b4a904c-b6d7-4355-b1ff-3744b3831112,123 Jaffle Street,Seattle,WA,90023,US,2024-08-01T00:00:00
addr-3c7a4cde-d92b-4d90-a731-9c0461ae8c90,124 Jaffle Street,Austin,TX,90024,US,2024-08-01T00:00:00
addr-9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb,125 Jaffle Street,Denver,CO,90025,US,2024-08-01T00:00:00
addr-bbe9e834-7071-42d6-8970-aa7301b72ec2,126 Jaffle Street,Portland,OR,90026,US,2024-08-01T00:00:00
addr-a311b0c8-1b63-4405-8097-09a984512389,127 Jaffle Street,Seattle,WA,90027,US,2024-08-01T00:00:00
addr-24ea0325-a7d6-4388-b86c-7b51e5805b26,128 Jaffle Street,Austin,TX,90028,US,2024-08-01T00:00:00
addr-d6de888a-0aee-4f77-a7d4-daba8f0da415,129 Jaffle Street,Denver,CO,90029,US,2024-08-01T00:00:00
addr-3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b,130 Jaffle Street,Portland,OR,90030,US,2024-08-01T00:00:00
addr-5ed25035-4723-4154-823d-a8c8b4c02e51,131 Jaffle Street,Seattle,WA,90031,US,2024-08-01T00:00:00
addr-531465bc-638f-4adb-9b47-cf0c1dc55550,132 Jaffle Street,Austin,TX,90032,US,2024-08-01T00:00:00
addr-d47a83f3-a765-4a20-b40c-e0993cf00e4f,133 Jaffle Street,Denver,CO,90033,US,2024-08-01T00:00:00
addr-4b8b181e-668e-45d4-a8e3-7180a41cf064,134 Jaffle Street,Portland,OR,90034,US,2024-08-01T00:00:00
addr-6d91807a-84e4-47c1-8e47-925d52e0dd48,135 Jaffle Street,Seattle,WA,90035,US,2024-08-01T00:00:00
addr-848485f0-198f-4efa-8335-707db71a7434,136 Jaffle Street,Austin,TX,90036,US,2024-08-01T00:00:00
addr-90b6264d-1278-47c8-a418-6498aac365ba,137 Jaffle Street,Denver,CO,90037,US,2024-08-01T00:00:00
addr-18b69140-479d-44b6-8369-04a49414f975,138 Jaffle Street,Portland,OR,90038,US,2024-08-01T00:00:00
